Time,Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Work_of_casuality,Fitness_of_casuality,Pedestrian_movement,Cause_of_accident
7:25:00,Friday,Unknown,Male,Junior high school,Employee,5-10yr,Automobile,Owner,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,O Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,Pedestrian,Male,18-30,3,Self-employed,Normal,Not a Pedestrian,Changing lane to the right
13:05:00,Friday,18-30,Male,Elementary school,Employee,Above 10yr,Lorry (41?100Q),Owner,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,No junction,Asphalt roads,Dry,Daylight,Unknown,Vehicle with vehicle collision,2,2,Going straight,Passenger,Male,18-30,3,Driver,Normal,Not a Pedestrian,No priority to vehicle
19:15:00,Saturday,18-30,Male,Junior high school,Employee,Above 10yr,Long lorry,Owner,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads with some distress,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,Pedestrian,Male,Under 18,3,Driver,Normal,Crossing from driver's nearside,No distancing
14:09:00,Tuesday,18-30,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,No defect,  Recreational areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,31-50,3,Self-employed,Normal,Not a Pedestrian,No priority to pedestrian
10:04:00,Friday,18-30,Male,High school,Employee,Below 1yr,Automobile,Owner,No defect,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,No priority to pedestrian
17:20:00,Tuesday,Under 18,Male,Junior high school,Employee,5-10yr,Automobile,Owner,No defect,Other,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,No distancing
18:40:00,Friday,18-30,Male,Junior high school,Employee,Below 1yr,Public (13?45 seats),Owner,No defect,Other,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,No priority to pedestrian
13:07:00,Tuesday,Over 51,Male,Junior high school,Owner,5-10yr,Pick up upto 10Q,Owner,No defect, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Earth roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Changing lane to the right
9:48:00,Friday,18-30,Male,Junior high school,Employee,5-10yr,Other,Owner,No defect, Church areas,Two-way (divided with solid lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the left
16:30:00,Monday,18-30,Male,Junior high school,Employee,5-10yr,Lorry (11?40Q),Owner,No defect,Office areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,No priority to pedestrian
22:55:00,Saturday,Under 18,Male,Junior high school,Owner,Above 10yr,Lorry (41?100Q),Owner,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,4,1,Going straight,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,Other
23:05:00,Saturday,Over 51,Male,Elementary school,Owner,5-10yr,Motorcycle,Owner,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - no lighting,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,No distancing
11:35:00,Wednesday,Unknown,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,No defect, Church areas,One way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Reversing,na,na,na,na,Self-employed,Normal,Not a Pedestrian,No priority to vehicle
16:35:00,Wednesday,18-30,Male,Junior high school,Owner,2-5yr,Automobile,Owner,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,3,2,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Moving Backward
9:45:00,Sunday,Over 51,Male,Elementary school,Employee,2-5yr,Other,Owner,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,1,Reversing,Driver or rider,Female,Over 51,3,Driver,Normal,Not a Pedestrian,No distancing
14:49:00,Monday,Over 51,Male,Junior high school,Employee,1-2yr,Public (13?45 seats),Governmental,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Driving carelessly
17:28:00,Thursday,31-50,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Reversing,Driver or rider,Female,31-50,3,Self-employed,Normal,Not a Pedestrian,No priority to vehicle
21:30:00,Sunday,31-50,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,No priority to vehicle
12:20:00,Monday,31-50,Male,Junior high school,Employee,5-10yr,Lorry (11?40Q),Owner,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,Passenger,Male,Under 18,3,Employee,Normal,Not a Pedestrian,Changing lane to the left
7:58:00,Thursday,Under 18,Male,Above high school,Employee,5-10yr,Automobile,Owner,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Male,Under 18,3,Driver,Normal,Not a Pedestrian,No distancing
17:25:00,Friday,31-50,Female,Junior high school,Employee,Above 10yr,Automobile,Owner,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,3,Getting off,na,na,na,na,Self-employed,Normal,Not a Pedestrian,No priority to vehicle
10:15:00,Tuesday,31-50,Male,Junior high school,Owner,5-10yr,Automobile,Owner,No defect, Industrial areas,other,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Entering a junction,Passenger,Female,Under 18,3,Driver,Normal,Not a Pedestrian,Changing lane to the right
9:51:00,Sunday,Over 51,Male,Writing & reading,Employee,5-10yr,Pick up upto 10Q,Owner,No defect, Church areas,Two-way (divided with broken lines road marking),Steep grade upward with mountainous terrain,No junction,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,No distancing
8:55:00,Monday,Unknown,Male,Elementary school,Owner,Above 10yr,Public (12 seats),Owner,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Turnover,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Driving carelessly
16:18:00,Saturday,18-30,Male,Junior high school,Employee,Below 1yr,Other,Governmental,No defect, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,Moving Backward
18:04:00,Saturday,31-50,Male,Junior high school,Employee,5-10yr,Stationwagen,Owner,5, Church areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,2,Going straight,Pedestrian,Female,Under 18,3,Driver,Normal,Not a Pedestrian,Driving to the left
10:25:00,Sunday,31-50,Male,Junior high school,Employee,5-10yr,Public (13?45 seats),Owner,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,4,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,No distancing
12:58:00,Thursday,18-30,Male,High school,Employee,No Licence,Taxi,Owner,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Snow,Daylight,Snow,Vehicle with vehicle collision,2,5,Going straight,Pedestrian,Female,31-50,3,Driver,Normal,Unknown or other,Changing lane to the left
20:20:00,Wednesday,31-50,Male,Junior high school,Owner,Above 10yr,Lorry (11?40Q),Owner,No defect,School areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Driving carelessly
11:30:00,Tuesday,31-50,Male,Elementary school,Employee,5-10yr,Public (13?45 seats),Owner,No defect, Church areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,4,6,Moving Backward,na,na,na,na,Driver,Normal,Not a Pedestrian,No distancing
8:45:00,Thursday,31-50,Male,Junior high school,Employee,2-5yr,Automobile,Governmental,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the right
15:00:00,Friday,31-50,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,No defect,Residential areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Turnover,na,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the right
16:30:00,Wednesday,Unknown,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Rollover,1,1,Other,Driver or rider,Female,Over 51,3,Driver,Normal,Not a Pedestrian,Changing lane to the right
8:02:00,Tuesday,18-30,Male,Elementary school,Owner,5-10yr,Pick up upto 10Q,Owner,No defect, Hospital areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Unknown,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Male,Over 51,2,Driver,Normal,Not a Pedestrian,No priority to vehicle
9:40:00,Friday,Unknown,Female,Junior high school,Employee,5-10yr,Pick up upto 10Q,Owner,No defect, Industrial areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Self-employed,Normal,Not a Pedestrian,Driving carelessly
5:20:00,Thursday,18-30,Male,Junior high school,Employee,Above 10yr,Special vehicle,Owner,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,Unemployed,Normal,Not a Pedestrian,Changing lane to the left
15:30:00,Friday,31-50,Male,Junior high school,Employee,5-10yr,Public (12 seats),Owner,No defect,Other,other,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Driving at high speed
17:25:00,Monday,Under 18,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Rollover,2,1,Going straight,Passenger,Female,Over 51,3,Driver,Normal,Not a Pedestrian,Changing lane to the right
18:15:00,Tuesday,18-30,Male,Junior high school,Employee,2-5yr,Pick up upto 10Q,Owner,No defect, Church areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the left
14:40:00,Saturday,31-50,Male,Junior high school,Owner,2-5yr,Automobile,Owner,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Self-employed,Normal,Not a Pedestrian,Overturning
13:30:00,Monday,Unknown,Male,Elementary school,Employee,5-10yr,Automobile,Owner,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Driving carelessly
18:40:00,Saturday,31-50,Male,Junior high school,Employee,5-10yr,Public (13?45 seats),Owner,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,Under 18,3,Driver,Normal,Not a Pedestrian,Changing lane to the left
9:15:00,Friday,Unknown,Male,Junior high school,Employee,1-2yr,Public (> 45 seats),Owner,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,Self-employed,Normal,Not a Pedestrian,Driving to the left
16:50:00,Monday,18-30,Male,Elementary school,Employee,5-10yr,Automobile,Owner,No defect,School areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Gravel roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Other
10:12:00,Tuesday,18-30,Male,Writing & reading,Employee,5-10yr,Stationwagen,Owner,No defect, Church areas,Two-way (divided with broken lines road marking),Steep grade upward with mountainous terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,4,5,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Unknown
15:31:00,Thursday,31-50,Male,Junior high school,Employee,5-10yr,Lorry (11?40Q),Owner,No defect, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,No distancing
9:36:00,Saturday,31-50,Male,Junior high school,Employee,5-10yr,Long lorry,Owner,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,3,1,Reversing,na,na,na,na,Driver,Normal,Not a Pedestrian,No priority to vehicle
20:10:00,Monday,31-50,Male,Junior high school,Employee,5-10yr,Other,Owner,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Driving under the influence of drugs
8:00:00,Tuesday,31-50,Male,Junior high school,Employee,5-10yr,Automobile,Owner,No defect,Office areas,other,Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,3,Going straight,Passenger,Female,Under 18,3,Driver,Normal,Not a Pedestrian,Driving under the influence of drugs
13:10:00,Saturday,18-30,Male,Junior high school,Owner,5-10yr,Public (12 seats),Owner,No defect, Church areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Collision with roadside objects,2,3,Going straight,na,na,na,na,Self-employed,Normal,Not a Pedestrian,No priority to pedestrian
18:36:00,Wednesday,18-30,Male,Elementary school,Employee,Above 10yr,Automobile,Owner,No defect,Other,One way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,3,Going straight,Passenger,Female,Over 51,3,Driver,Normal,Not a Pedestrian,Driving carelessly
22:00:00,Saturday,31-50,Male,Junior high school,Employee,Below 1yr,Lorry (41?100Q),Owner,No defect,Office areas,other,Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Moving Backward,Driver or rider,Female,18-30,3,Self-employed,Normal,Not a Pedestrian,Driving carelessly
16:32:00,Monday,Over 51,Male,Elementary school,Employee,1-2yr,Other,Owner,No defect,Other,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,4,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Driving carelessly
20:40:00,Tuesday,31-50,Male,Junior high school,Employee,5-10yr,Pick up upto 10Q,Owner,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Rollover,1,2,Reversing,Driver or rider,Male,5,3,Driver,Normal,Not a Pedestrian,Driving at high speed
11:30:00,Friday,Unknown,Female,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,3,1,Other,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,No distancing
6:46:00,Wednesday,31-50,Male,Writing & reading,Employee,5-10yr,Pick up upto 10Q,Owner,No defect,School areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,18-30,3,Employee,Normal,Not a Pedestrian,No distancing
17:21:00,Thursday,31-50,Male,Junior high school,Employee,5-10yr,Other,Governmental,No defect,Office areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,4,2,Going straight,Passenger,Female,5,3,Driver,Normal,Not a Pedestrian,No distancing
0:25:00,Wednesday,Under 18,Male,Elementary school,Employee,5-10yr,Other,Owner,No defect,Other,Undivided Two way,Tangent road with mountainous terrain and,No junction,Asphalt roads,Dry,Darkness - no lighting,Normal,Vehicle with vehicle collision,3,2,Going straight,Driver or rider,Male,18-30,3,Self-employed,Normal,Not a Pedestrian,Overturning
19:57:00,Friday,Under 18,Male,Elementary school,Employee,2-5yr,Stationwagen,Owner,No defect,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Fall from vehicles,3,2,Other,na,na,na,na,Driver,Normal,Not a Pedestrian,Moving Backward
12:34:00,Monday,18-30,Male,Junior high school,Employee,5-10yr,Public (12 seats),Owner,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,2,Reversing,Driver or rider,Male,18-30,3,Self-employed,Normal,Not a Pedestrian,No priority to vehicle
22:28:00,Sunday,18-30,Male,Writing & reading,Employee,2-5yr,Lorry (41?100Q),Owner,No defect,Residential areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - no lighting,Normal,Vehicle with vehicle collision,1,2,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the right
17:57:00,Wednesday,Unknown,Female,Junior high school,Employee,Below 1yr,Public (13?45 seats),Organization,No defect,Residential areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,2,Driver,Normal,Not a Pedestrian,Changing lane to the left
15:12:00,Monday,31-50,Male,Junior high school,Employee,5-10yr,Stationwagen,Owner,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Driving carelessly
10:20:00,Thursday,Over 51,Male,Junior high school,Employee,2-5yr,Automobile,Owner,No defect,Other,One way,Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Pedestrian,Male,Over 51,2,Self-employed,Normal,Not a Pedestrian,Driving under the influence of drugs
8:00:00,Wednesday,31-50,Male,Above high school,Owner,1-2yr,Public (13?45 seats),Owner,No defect,Residential areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Collision with animals,3,1,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Moving Backward
11:19:00,Wednesday,Over 51,Male,Junior high school,Employee,5-10yr,Other,Owner,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,2,Going straight,na,na,na,na,Self-employed,Normal,Not a Pedestrian,Other
13:24:00,Wednesday,18-30,Male,Junior high school,Owner,5-10yr,Public (13?45 seats),Owner,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Driving carelessly
12:54:00,Saturday,Over 51,Male,Junior high school,Employee,2-5yr,Public (> 45 seats),Owner,No defect, Industrial areas,Unknown,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Moving Backward,Passenger,Female,Under 18,3,Self-employed,Normal,Not a Pedestrian,Driving carelessly
19:14:00,Monday,18-30,Male,Junior high school,Employee,5-10yr,Other,Governmental,No defect,Office areas,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,2,Moving Backward,Driver or rider,Male,Under 18,2,Driver,Normal,Not a Pedestrian,Driving at high speed
